step,reward,success_rate,distil_loss,bc_flow_loss,q_loss,critic_loss,mse
1,-0.24221867322921753,0.0,0.515602707862854,0.0,0.24221867322921753,1.6881141662597656,0.25533097982406616
5000,5.947430610656738,0.0,0.0026626787148416042,0.0,-5.947430610656738,0.005166065879166126,0.0030136096756905317
10000,6.082836151123047,0.0,0.0010299088899046183,0.0,-6.082836151123047,0.13767988979816437,0.0012950602686032653
15000,4.819320201873779,0.0,0.0012001486029475927,0.0,-4.819320201873779,0.0008746105595491827,0.0012185549130663276
20000,3.7974443435668945,0.0,0.0002607959322631359,0.0,-3.7974443435668945,0.11033929139375687,0.0005382639938034117
25000,2.919735908508301,0.0,0.00020244902407284826,0.0,-2.919735908508301,0.034514401108026505,0.00027843081625178456
30000,2.297022581100464,0.0,0.0002952773356810212,0.0,-2.297022581100464,0.020137028768658638,0.0003099485475104302
35000,1.7888977527618408,0.0,0.00012520163727458566,0.0,-1.7888977527618408,0.012059991247951984,0.00025789058418013155
40000,1.3899171352386475,0.0,0.00013759684225078672,0.0,-1.3899171352386475,0.014516834169626236,0.00021329589071683586
45000,1.0727028846740723,0.0,8.090525807347149e-05,0.0,-1.0727028846740723,1.2243403034517542e-05,0.00017663823382463306
50000,0.8321507573127747,0.0,0.00011144343443447724,0.0,-0.8321507573127747,1.578392766532488e-05,0.0002035816287389025
55000,0.6540678143501282,0.0,0.00012325166608206928,0.0,-0.6540678143501282,0.0015892897499725223,0.00016568650607950985
60000,0.5140611529350281,0.0,0.00010471507266629487,0.0,-0.5140611529350281,3.0379704185179435e-05,0.0002281946799485013
65000,0.40002575516700745,0.0,8.259918104158714e-05,0.0,-0.40002575516700745,1.4167420886224136e-05,0.0001615806540939957
70000,0.3135972023010254,0.0,9.055274858837947e-05,0.0,-0.3135972023010254,0.001108306460082531,0.0001181101833935827
75000,0.24641436338424683,0.0,7.630248001078144e-05,0.0,-0.24641436338424683,7.000052391958889e-06,0.000169414997799322
80000,0.19387365877628326,0.0,0.00010986365668941289,0.0,-0.19387365877628326,0.0002825300907716155,0.0001306230842601508
85000,0.15057140588760376,0.0,6.406023021554574e-05,0.0,-0.15057140588760376,4.487524165597279e-06,9.726384450914338e-05
90000,0.11841464042663574,0.0,7.221561827464029e-05,0.0,-0.11841464042663574,5.4121170251164585e-05,0.00010208905587205663
95000,0.09279170632362366,0.0,7.330051448661834e-05,0.0,-0.09279170632362366,6.724245622535818e-07,0.00010013101564254612
100000,0.07309386134147644,0.0,6.967778608668596e-05,0.0,-0.07309386134147644,9.685068107501138e-07,0.00010848895908566192
100000,0.07309386134147644,0.0,6.967778608668596e-05,0.0,-0.07309386134147644,9.685068107501138e-07,0.00010848895908566192
105000,0.05576709657907486,0.0,4.323563916841522e-05,0.0,-0.05576709657907486,3.7616678127960768e-06,9.356909868074581e-05
110000,0.044257089495658875,0.0,9.094700362766162e-05,0.0,-0.044257089495658875,9.175030754704494e-06,0.00014673813711851835
115000,0.03396622836589813,0.0,7.254001684486866e-05,0.0,-0.03396622836589813,4.8471624722878914e-06,0.00011273263953626156
120000,0.027038253843784332,0.0,5.6503522500861436e-05,0.0,-0.027038253843784332,1.0407485206087586e-05,6.333740020636469e-05
125000,0.021311577409505844,0.0,4.491622166824527e-05,0.0,-0.021311577409505844,4.0690272840038233e-07,6.118672172306105e-05
130000,0.016281992197036743,0.0,4.8178342694882303e-05,0.0,-0.016281992197036743,1.1454527566456818e-06,0.0001244962913915515
135000,0.013642820529639721,0.0,6.890701479278505e-05,0.0,-0.013642820529639721,1.1531938071129844e-06,8.784414239926264e-05
140000,0.010461295023560524,0.0,8.724826329853386e-05,0.0,-0.010461295023560524,2.3413362271185179e-07,0.00012834496737923473
145000,0.008155370131134987,0.0,3.7569348933175206e-05,0.0,-0.008155370131134987,1.304153727232915e-07,8.326985698658973e-05
150000,0.0062429653480648994,0.0,5.094876905786805e-05,0.0,-0.0062429653480648994,7.649921585084485e-09,0.0001115326740546152
155000,0.0050673047080636024,0.0,5.577799674938433e-05,0.0,-0.0050673047080636024,7.963564598867379e-07,7.471127901226282e-05
160000,0.004002286121249199,0.0,3.25253713526763e-05,0.0,-0.004002286121249199,2.3097128121207788e-07,8.045648428378627e-05
165000,0.0029050963930785656,0.0,4.0103950595948845e-05,0.0,-0.0029050963930785656,1.2284260719752638e-07,4.6188608394004405e-05
170000,0.002169872634112835,0.0,4.620588515535928e-05,0.0,-0.002169872634112835,7.307062510619744e-09,7.403955532936379e-05
175000,0.0009187720715999603,0.0,5.5925833294168115e-05,0.0,-0.0009187720715999603,1.286880888073938e-06,5.792544470750727e-05
180000,0.001211467431858182,0.0,3.5790282709058374e-05,0.0,-0.001211467431858182,7.837444115921244e-08,8.604196773376316e-05
185000,0.001202911720611155,0.0,7.689103949815035e-05,0.0,-0.001202911720611155,1.304909034161028e-07,7.226640445878729e-05
190000,0.0006981875631026924,0.0,3.3922635338967666e-05,0.0,-0.0006981875631026924,8.18913825639811e-09,3.981633562943898e-05
195000,0.0003538132878020406,0.0,6.238552305148914e-05,0.0,-0.0003538132878020406,8.40798918488872e-07,9.576652519172058e-05
200000,-0.00029915751656517386,0.0,6.512657273560762e-05,0.0,0.00029915751656517386,7.710200975452608e-07,0.00011654957052087411
200000,-0.00029915751656517386,0.0,6.512657273560762e-05,0.0,0.00029915751656517386,7.710200975452608e-07,0.00011654957052087411
205000,0.0001941955997608602,0.0,5.3426068916451186e-05,0.0,-0.0001941955997608602,3.075658128182113e-08,5.804615648230538e-05
210000,7.640139665454626e-05,0.0,3.630976425483823e-05,0.0,-7.640139665454626e-05,4.022575605944212e-10,3.129313336103223e-05
215000,-0.0008518366375938058,0.0,4.3986070522805676e-05,0.0,0.0008518366375938058,1.779752324182482e-06,7.865644874982536e-05
220000,-4.521508526522666e-05,0.0,6.311426113825291e-05,0.0,4.521508526522666e-05,4.164681099982914e-10,8.264883217634633e-05
225000,0.00015916331904008985,0.0,3.9233513234648854e-05,0.0,-0.00015916331904008985,5.282035253628692e-09,8.22051806608215e-05
230000,-0.0001139265950769186,0.0,5.811081427964382e-05,0.0,0.0001139265950769186,4.6794919938975e-08,5.01756694575306e-05
235000,7.579353405162692e-05,0.0,4.6473302063532174e-05,0.0,-7.579353405162692e-05,5.2036075004480153e-08,6.835136446170509e-05
240000,3.85971216019243e-05,0.0,4.267244730726816e-05,0.0,-3.85971216019243e-05,5.737516239889828e-09,4.9333171773469076e-05
245000,-0.000143882556585595,0.0,3.826553074759431e-05,0.0,0.000143882556585595,4.74867389854694e-09,4.245226955390535e-05
250000,-0.00021404228755272925,0.0,4.5191365643404424e-05,0.0,0.00021404228755272925,2.2002564215028997e-09,0.00011194821126991883
255000,-8.217652793973684e-05,0.0,4.792311665369198e-05,0.0,8.217652793973684e-05,6.917919392890326e-08,0.00010718395787989721
260000,-0.0002580612199380994,0.0,3.211251168977469e-05,0.0,0.0002580612199380994,1.6802358615564117e-08,9.144825889961794e-05
265000,-0.00029296489083208144,0.0,3.696190833579749e-05,0.0,0.00029296489083208144,5.6285088589902443e-08,5.680245521944016e-05
270000,-2.886675065383315e-05,0.0,4.513636667979881e-05,0.0,2.886675065383315e-05,8.544308038871407e-10,9.620407217880711e-05
